GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Statistics Portlet,life.qbic.portal.model.view,GridModel,52,0,0,0,14,0,7,0,7,0
Statistics Portlet,life.qbic.portal.presenter.utils,CustomNotification,18,0,0,0,5,0,2,0,2,0
Statistics Portlet,life.qbic.portal.presenter.utils,Sorter,34,0,2,0,8,0,3,0,2,0
Statistics Portlet,life.qbic.portal.presenter.utils,DataSorter,22,0,0,0,7,0,4,0,4,0
Statistics Portlet,life.qbic.portal.presenter.utils,LabelFormatter,212,0,26,0,38,0,17,0,4,0
Statistics Portlet,life.qbic.portal.presenter.utils,Colors,59,0,0,0,10,0,4,0,4,0
Statistics Portlet,life.qbic.portal.exceptions,DataNotFoundException,13,0,0,0,6,0,3,0,3,0
Statistics Portlet,life.qbic.portal.portlet,StatisticsPortlet,141,0,4,0,33,0,8,0,6,0
Statistics Portlet,life.qbic.portal.presenter,MainPresenter,180,0,8,0,48,0,13,0,9,0
Statistics Portlet,life.qbic.portal.presenter,FileLoadPresenter,177,0,4,0,45,0,10,0,8,0
Statistics Portlet,life.qbic.portal.model.components,AComponent,3,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.model.components,GitHubLabels,35,0,2,0,10,0,6,0,5,0
Statistics Portlet,life.qbic.portal.view.tabs,GridView,61,0,4,0,18,0,7,0,5,0
Statistics Portlet,life.qbic.portal.view.tabs,AView,3,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.presenter.tabs.organisms,GenusSpeciesCountPresenter,648,0,28,0,94,0,23,0,9,0
Statistics Portlet,life.qbic.portal.presenter.tabs.organisms,SuperKingdomCountPresenter,447,0,14,0,71,0,17,0,10,0
Statistics Portlet,life.qbic.portal.presenter.tabs.samples,SampleTypeBarPresenter,426,0,24,0,64,0,19,0,7,0
Statistics Portlet,life.qbic.portal.presenter.tabs.projects,MultiOmicsCountPresenter,260,0,4,0,36,0,9,0,7,0
Statistics Portlet,life.qbic.portal.presenter.tabs.projects,ProjectCountPresenter,373,0,12,0,65,0,15,0,9,0
Statistics Portlet,life.qbic.portal.model.view.charts,PieChartModel,71,0,0,0,14,0,7,0,7,0
Statistics Portlet,life.qbic.portal.model.view.charts,LineModel,64,0,0,0,17,0,5,0,5,0
Statistics Portlet,life.qbic.portal.model.view.charts,ColumnModel,76,0,0,0,21,0,7,0,7,0
Statistics Portlet,life.qbic.portal.model.view.charts,BarModel,76,0,0,0,21,0,7,0,7,0
Statistics Portlet,life.qbic.portal.model.view.charts,AChartModel,51,0,0,0,15,0,6,0,6,0
Statistics Portlet,life.qbic.portal.view.tabs.charts,ColumnView,4,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.view.tabs.charts,AChartView,22,0,0,0,7,0,4,0,4,0
Statistics Portlet,life.qbic.portal.view.tabs.charts,LineView,4,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.view.tabs.charts,BarView,4,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.view.tabs.charts,PieView,4,0,0,0,2,0,1,0,1,0
Statistics Portlet,life.qbic.portal.io,MyReceiver,59,0,0,0,14,0,5,0,5,0
Statistics Portlet,life.qbic.portal.io,YAMLParser,48,0,0,0,10,0,4,0,4,0
Statistics Portlet,life.qbic.portal.presenter.tabs.workflows,AvailableWorkflowPresenter,340,0,6,0,48,0,11,0,8,0
Statistics Portlet,life.qbic.portal.presenter.tabs.workflows,WorkflowTypePresenter,279,0,16,0,51,0,16,0,8,0
Statistics Portlet,life.qbic.portal.presenter.tabs.workflows,WorkflowUsagePresenter,389,0,8,0,61,0,13,0,9,0
Statistics Portlet,life.qbic.portal.presenter.tabs,DummyChartPresenter,170,0,2,0,27,0,8,0,7,0
Statistics Portlet,life.qbic.portal.presenter.tabs,ATabPresenter,119,0,6,0,38,0,16,0,13,0
Statistics Portlet,life.qbic.portal.view,TabView,293,0,4,0,65,0,10,0,8,0
